Player,Goals,Years,Country
Miroslav Klose,16,2002-2006-2010-2014,Germany
Ronaldo,15,1998-2002-2006,Brazil
Gerd Muller,14,1970-1974,Germany
Just Fontaine,13,1958,France
Pele,12,1958-1962-1966-1970,Brazil
Jurgen Klinsmann,11,1990-1994-1998,Germany
Sandor Kocsis,11,1954,Hungary
Gabriel Batistuta,10,1994-1998-2002,Argentina
Gary Lineker,10,1986-1990,England
Thomas Muller,10,2010-2014,Germany
Helmut Rahn,10,1954-1958,Germany
Teofilo Cubillas,10,1970-1978-1982,Peru
Grzegorz Lato,10,1974-1978-1982,Poland
Ademir,9,1950,Brazil
Jairzinho,9,1966-1970-1974,Brazil
Vava,9,1958-1962,Brazil
Karl Heinz Rummenigge,9,1978-1982-1986,Germany
Uwe Seeler,9,1958-1962-1966-1970,Germany
Roberto Baggio,9,1990-1994-1998,Italy
Paolo Rossi,9,1978-1982,Italy
Christian Vieri,9,1998-2002,Italy
Eusebio,9,1966,Portugal
David Villa,9,2006-2010-2014,Spain
Diego Maradona,8,1982-1986-1990-1994,Argentina
Guillermo Stabile,8,1930,Argentina
Leonidas,8,1934-1938,Brazil
Rivaldo,8,1998-2002,Brazil
Rudi Voller,8,1986-1990-1994,Germany
Oscar Miguez,8,1950-1954,Uruguay
Careca,7,1986-1990,Brazil
Oldrich Nejedly,7,1934-1938,Czech
Hans Schafer,7,1954-1958-1962,Germany
Lajos Tichy,7,1958-1962,Hungary
Johnny Rep,7,1974-1978,Netherlands
Andrzej Szarmach,7,1974-1978-1982,Poland
Cristiano Ronaldo,7,2006-2010-2014-2018,Portugal
Luis Suarez,7,2010-2014-2018,Uruguay
Mario Kempes,6,1974-1978-1982,Argentina
Lionel Messi,6,2006-2010-2014-2018,Argentina
Erich Probst,6,1954,Austria
Bebeto,6,1994-1998,Brazil
Neymar,6,2014-2018,Brazil
Rivelino,6,1970-1974-1978,Brazil
Hristo Stoichkov,6,1994-1998,Bulgaria
James Rodriguez,6,2014,Colombia
Davor Suker,6,1998-2002,Croatia
Harry Kane,6,2018,England
Thierry Henry,6,1998-2002-2006-2010,France
Helmut Haller,6,1962-1966-1970,Germany
Lothar Matthaus,6,1986-1990-1994-1998,Germany
Max Morlock,6,1954,Germany
Asamoah Gyan,6,2006-2010-2014,Ghana
Gyorgy Sarosi,6,1934-1938,Hungary
Salvatore Schillaci,6,1990,Italy
Dennis Bergkamp,6,1994-1998,Netherlands
Rob Rensenbrink,6,1974-1978,Netherlands
Arjen Robben,6,2006-2010-2014,Netherlands
Wesley Sneijder,6,2006-2010-2014,Netherlands
Robin Van Persie,6,2006-2010-2014,Netherlands
Zbigniew Boniek,6,1978-1982-1986,Poland
Oleg Salenko,6,1994,Russia
Josef Hugi,6,1954,Switzerland
Diego Forlan,6,2002-2010,Uruguay
Gonzalo Higuain,5,2010-2014,Argentina
Tim Cahill,5,2006-2010-2014,Australia
Hans Krankl,5,1978-1982,Austria
Romelu Lukaku,5,2014-2018,Belgium
Marc Wilmots,5,1994-1998-2002,Belgium
Garrincha,5,1958-1962-1966,Brazil
Romario,5,1990-1994,Brazil
Zico,5,1978-1982,Brazil
Roger Milla,5,0,Cameroon
Mario Mandzukic,5,2014-2018,Croatia
Ivan Perisic,5,2014-2018,Croatia
Tomas Skuhravy,5,1990,Czech
Jon Dahl Tomasson,5,2002-2010,Denmark
Geoff Hurst,5,1966-1970,England
Michel Platini,5,1978-1982-1986,France
Zinedine Zidane,5,1998-2002-2006,France
Franz Beckenbauer,5,1966-1970-1974,Germany
Lukas Podolski,5,2006-2010,Germany
Gyula Zsengeller,5,1938,Hungary
Silvio Piola,5,1938,Italy
Johan Neeskens,5,1974-1978,Netherlands
Peter Mcparland,5,1958,Northern Ireland
Estanislao Basora,5,1950,Spain
Emilio Butragueno,5,1986-1990,Spain
Fernando Hierro,5,1994-1998-2002,Spain
Fernando Morientes,5,1998-2002,Spain
Raul,5,1998-2002-2006,Spain
Kennet Andersson,5,1994,Sweden
Edinson Cavani,5,2010-2014-2018,Uruguay
Pedro Cea,5,1930,Uruguay
Juan Schiaffino,5,1950-1954,Uruguay
Landon Donovan,5,2002-2006-2010,USA
Valentin Ivanov,5,1958-1962,USSR
Daniel Bertoni,4,1978-1982,Argentina
Claudio Caniggia,4,1990-1994-2002,Argentina
Hernan Crespo,4,1998-2002-2006,Argentina
Rene Houseman,4,1974-1978,Argentina
Leopoldo Luque,4,1978,Argentina
Jorge Valdano,4,1982-1986,Argentina
Jan Ceulemans,4,1982-1986-1990,Belgium
Chico,4,1950,Brazil
Socrates,4,1982-1986,Brazil
Marcelo Salas,4,1998,Chile
Leonel Sanchez,4,1962-1966,Chile
Guillermo Subiabre,4,1930,Chile
Zdenek Zikan,4,1958,Czech
Preben Elkjaer Larsen,4,1986,Denmark
Bobby Charlton,4,1962-1966-1970,England
Michael Owen,4,1998-2002-2006,England
Antoine Griezmann,4,2018,France
Kylian Mbappe,4,2018,France
Roger Piantoni,4,1958,France
Dominique Rocheteau,4,1978-1982-1986,France
Oliver Bierhoff,4,1998-2002,Germany
Andreas Brehme,4,1986-1990-1994,Germany
Paul Breitner,4,1974-1982,Germany
Edmund Conen,4,1934,Germany
Ottmar Walter,4,1954,Germany
Florian Albert,4,1962-1966,Hungary
Ferenc Bene,4,1966,Hungary
Nandor Hidegkuti,4,1954-1958,Hungary
Ferenc Puskas,4,1954-1962,Hungary
Alessandro Altobelli,4,1982-1986,Italy
Gino Colaussi,4,1938,Italy
Angelo Schiavio,4,1934,Italy
Keisuke Honda,4,2010-2014-2018,Japan
Luis Hernandez,4,1998-2002,Mexico
Javier Hernandez,4,2010-2014-2018,Mexico
Ahmed Musa,4,2014-2018,Nigeria
Kazimierz Deyna,4,1974-1978,Poland
Ernest Wilimowski,4,1938,Poland
Pauleta,4,2002-2006,Portugal
Florin Raducioiu,4,1990-1994,Romania
